date,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率
2020-01-07,35.18,36.11,36.61,34.96,32244,162703989.0,4.69,2.59,0.91,4.57
2020-01-08,36.11,36.74,37.82,35.77,48717,252755951.0,5.68,1.74,0.63,6.91
2020-01-09,37.44,36.81,38.21,36.36,40548,212590360.0,5.04,0.19,0.07,5.75
2020-01-10,36.85,36.25,37.24,35.98,24414,124881889.0,3.42,-1.52,-0.56,3.46
2020-01-13,36.25,37.54,37.87,35.81,34697,180413052.0,5.68,3.56,1.29,4.92
2020-01-14,38.17,36.75,38.18,36.75,24229,126525927.0,3.81,-2.1,-0.79,3.43
2020-01-15,37.11,36.89,37.49,36.39,20559,107034500.0,2.99,0.38,0.14,2.91
2020-01-16,37.16,37.12,37.62,36.39,18415,96093950.0,3.33,0.62,0.23,2.61
2020-01-17,37.12,36.86,37.39,36.61,19061,99325379.0,2.1,-0.7,-0.26,2.7
2020-01-20,36.82,38.94,39.0,36.14,44020,235012899.0,7.76,5.64,2.08,6.24
2020-01-21,38.56,40.22,40.53,38.19,41277,227352800.0,6.01,3.29,1.28,5.85
2020-01-22,39.61,38.64,39.64,36.96,42399,227579216.0,6.66,-3.93,-1.58,6.01
2020-01-23,37.81,35.36,38.48,34.83,41723,214302274.0,9.45,-8.49,-3.28,5.92
2020-02-03,31.81,31.81,31.87,31.81,11781,52757391.0,0.17,-10.04,-3.55,1.67
2020-02-04,29.82,32.54,33.14,29.82,44795,203022729.0,10.44,2.29,0.73,6.35
2020-02-05,33.12,35.54,35.81,33.04,45308,221040678.0,8.51,9.22,3.0,6.42
2020-02-06,34.83,36.0,36.92,34.58,33843,170800386.0,6.58,1.29,0.46,4.8
2020-02-07,36.59,36.84,37.51,35.29,30054,154073319.0,6.17,2.33,0.84,4.26
2020-02-10,36.31,36.14,36.8,35.54,25861,131812765.0,3.42,-1.9,-0.7,3.67
2020-02-11,36.51,37.28,37.32,35.8,30646,158978664.0,4.21,3.15,1.14,4.34
2020-02-12,37.01,37.21,37.53,36.64,20189,105391738.0,2.39,-0.19,-0.07,2.86
2020-02-13,36.89,36.32,37.52,36.24,21545,111403567.0,3.44,-2.39,-0.89,3.05
2020-02-14,35.97,35.91,37.03,35.57,21642,110356673.0,4.02,-1.13,-0.41,3.07
2020-02-17,36.37,38.54,39.0,36.37,47951,257918647.0,7.32,7.32,2.63,6.8
2020-02-18,39.01,40.06,40.52,38.16,47655,262449113.0,6.12,3.94,1.52,6.76
2020-02-19,39.64,40.26,41.86,39.64,38674,222989640.0,5.54,0.5,0.2,5.48
2020-02-20,41.01,42.08,44.16,40.27,61562,363796096.0,9.66,4.52,1.82,8.73
2020-02-21,42.89,42.68,43.24,41.82,44362,265255877.0,3.37,1.43,0.6,6.29
2020-02-24,43.96,44.46,45.11,42.81,62503,388962544.0,5.39,4.17,1.78,8.86
2020-02-25,43.4,46.25,46.68,42.09,77047,489757088.0,10.32,4.03,1.79,10.92
2020-02-26,44.81,41.61,45.52,41.61,55734,337436992.0,8.45,-10.03,-4.64,7.9
2020-02-27,41.82,40.68,42.52,39.82,36288,209651684.0,6.49,-2.24,-0.93,5.14
2020-02-28,38.96,38.81,39.96,36.96,46098,247765258.0,7.37,-4.6,-1.87,6.54
2020-03-02,38.52,39.62,40.51,37.15,48542,263227935.0,8.66,2.09,0.81,6.88
2020-03-03,40.04,38.77,40.72,38.09,40747,227337916.0,6.64,-2.15,-0.85,5.78
2020-03-04,38.06,36.21,38.71,35.68,49925,258042958.0,7.82,-6.6,-2.56,7.08
2020-03-05,36.83,36.91,37.41,35.89,35080,181898557.0,4.2,1.93,0.7,4.97
